City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
292,faanui,-16.4833,-151.75,26.7,76,100,4.52,PF,1671291005
293,odweyne,9.4092,45.064,19.19,50,6,7.05,SO,1671246510
294,vestmannaeyjar,63.4427,-20.2734,2.33,73,100,16.01,IS,1671274861
295,pagudpud,18.5616,120.7868,22.6,90,100,11.68,PH,1671315766
296,rawson,-43.3002,-65.1023,23.55,32,100,4.0,AR,1671266102
297,zaritap,39.6363,45.5096,-1.34,76,5,1.39,AM,1671250366
298,touros,-5.1989,-35.4608,29.39,60,29,5.76,BR,1671264319
299,sabalgarh,26.25,77.4,15.44,33,0,1.22,IN,1671240684
300,smiltene,57.4244,25.9016,-17.3,100,99,0.67,LV,1671260010
301,san patricio,28.017,-97.5169,11.02,36,100,4.84,US,1671282913
302,nanortalik,60.1432,-45.2371,-3.64,67,6,3.53,GL,1671278490
303,myitkyina,25.3833,97.4,19.23,57,59,1.08,MM,1671235771
304,longyearbyen,78.2186,15.6401,-15.09,78,75,3.09,SJ,0
305,iqaluit,63.7506,-68.5145,-5.15,68,75,1.54,CA,1671286731
306,grand-lahou,5.1367,-5.0242,28.54,68,45,4.2,CI,1671258086
307,vaitape,-16.5167,-151.75,26.71,76,100,4.49,PF,1671291001
308,abnub,27.2696,31.1511,23.12,28,0,2.7,EG,1671251922
309,svetlogorsk,52.6333,29.7333,-1.49,98,100,4.79,BY,1671257259
310,uusikaupunki,60.8004,21.4084,1.6,74,100,8.87,FI,1671262883
311,asfi,32.2994,-9.2372,18.44,68,0,4.75,MA,1671262318
312,gawler,-34.6,138.7333,19.42,68,100,5.51,AU,1671305245
313,shenjiamen,29.9576,122.298,1.22,51,3,12.69,CN,1671316836
314,meulaboh,4.1363,96.1285,24.07,95,100,2.56,ID,1671233698
315,sakakah,29.9697,40.2064,15.76,50,0,2.64,SA,1671250113
316,abadan,30.3392,48.3043,18.97,63,0,2.06,IR,1671248220
317,russell,32.3502,-85.1999,9.11,66,40,1.54,US,1671280563
318,xuddur,4.1213,43.8894,27.63,31,12,4.21,SO,1671246238
319,murupara,-38.4667,176.7,17.59,100,100,0.11,NZ,1671295455
320,ixtapa,20.7,-105.2,22.35,77,40,2.06,MX,1671283841
321,aksarka,66.5606,67.7975,-13.18,94,100,2.25,RU,1671257786
322,kruisfontein,-34.0033,24.7314,18.42,88,100,2.04,ZA,1671246289
323,kavieng,-2.5744,150.7967,27.66,71,99,2.03,PG,1671306305
324,kenora,49.8167,-94.4337,-10.46,85,100,4.12,CA,1671286230
325,la asuncion,11.0333,-63.8628,28.85,70,53,7.2,VE,1671272834
326,knyaze-volkonskoye,48.4642,135.4567,-25.4,97,16,1.86,RU,1671317109
327,port lincoln,-34.7333,135.8667,15.81,85,100,7.75,AU,1671305912
328,saint-pierre,-21.3393,55.4781,25.82,73,0,2.06,RE,1671240679
329,bilibino,68.0546,166.4372,-19.18,99,92,2.71,RU,0
330,camocim,-2.9022,-40.8411,31.49,56,47,7.94,BR,1671265851
331,hailar,49.2,119.7,-34.36,95,8,1.55,CN,1671321087
332,bangkalan,-7.0455,112.7351,25.97,83,99,2.76,ID,1671228546
333,takhatgarh,25.3333,73.0,17.75,18,1,2.43,IN,1671241623
334,saint-francois,46.4154,3.9054,-3.51,93,75,1.54,FR,1671261750
335,vestmanna,62.1564,-7.1664,-2.49,64,40,4.63,FO,1671270668
336,sangmelima,2.9333,11.9833,24.44,68,57,0.9,CM,1671253774
337,quatre cocos,-20.2078,57.7625,25.61,70,92,6.6,MU,1671240268
338,mecca,21.4267,39.8261,26.37,51,0,4.41,SA,1671249108
339,mangai,-4.05,19.5333,25.82,75,100,0.78,CD,1671251237
340,cap malheureux,-19.9842,57.6142,25.82,67,83,7.15,MU,1671240331
341,biak,-0.9131,122.8766,24.84,84,100,3.16,ID,1671313181
342,muli,2.9167,73.5667,27.2,75,36,4.57,MV,1671238988
343,rabak,13.1809,32.74,30.24,24,42,3.56,SD,1671249873
344,kaitangata,-46.2817,169.8464,10.38,97,100,2.18,NZ,1671295414
345,whitehorse,60.7161,-135.0538,-22.72,69,0,2.06,CA,1671300405
346,khani,41.9563,42.9566,6.76,61,1,3.1,GE,1671251417
347,veraval,20.9,70.3667,25.04,63,34,2.85,IN,1671241712
348,hofn,64.2539,-15.2082,-5.01,63,100,5.96,IS,1671274425
349,batagay-alyta,67.8006,130.4114,-39.76,98,15,0.83,RU,0
350,barranca,-10.75,-77.7667,22.55,74,50,5.12,PE,1671273884
351,oussouye,12.485,-16.5469,34.05,16,3,1.69,SN,1671261631
352,bose,45.4612,8.0137,5.64,61,28,2.18,IT,1671260544
353,nhulunbuy,-12.2333,136.7667,27.34,89,99,0.0,AU,1671308644
354,chapais,49.7834,-74.8492,-3.12,95,100,4.22,CA,1671281519
355,luwingu,-10.2621,29.9271,19.82,89,100,2.01,ZM,1671248082
356,itum-kale,42.7356,45.5758,8.66,60,1,2.45,RU,1671250943
357,mehamn,71.0357,27.8492,-7.05,86,94,5.14,NO,0
358,hami,42.8,93.45,-7.44,39,0,1.33,CN,1671325900
359,bulungu,-4.55,18.6,25.01,83,100,0.66,CD,1671251409
360,shelburne,44.0787,-80.2041,-0.75,90,99,4.88,CA,1671281423
361,bathsheba,13.2167,-59.5167,30.34,78,40,10.29,BB,1671272026
